stt,bm25_retrieved,bm25_hit@1,bm25_recall@1,bm25_hit@3,bm25_recall@3,bm25_hit@5,bm25_recall@5,bm25_hit@10,bm25_recall@10,bm25_hit@20,bm25_recall@20,bm25_hit@30,bm25_recall@30,bm25_mrr,tfidf_retrieved,tfidf_hit@1,tfidf_recall@1,tfidf_hit@3,tfidf_recall@3,tfidf_hit@5,tfidf_recall@5,tfidf_hit@10,tfidf_recall@10,tfidf_hit@20,tfidf_recall@20,tfidf_hit@30,tfidf_recall@30,tfidf_mrr,keyword_retrieved,keyword_hit@1,keyword_recall@1,keyword_hit@3,keyword_recall@3,keyword_hit@5,keyword_recall@5,keyword_hit@10,keyword_recall@10,keyword_hit@20,keyword_recall@20,keyword_hit@30,keyword_recall@30,keyword_mrr,semantic_retrieved,semantic_hit@1,semantic_recall@1,semantic_hit@3,semantic_recall@3,semantic_hit@5,semantic_recall@5,semantic_hit@10,semantic_recall@10,semantic_hit@20,semantic_recall@20,semantic_hit@30,semantic_recall@30,semantic_mrr
1,"[""168-2025-ND:d60"", ""01-2021-ND:d66"", ""01-2021-ND:d91"", ""168-2025-ND:d103"", ""168-2025-ND:d118"", ""01-2021-ND:d97"", ""168-2025-ND:d22"", ""168-2025-ND:d119"", ""168-2025-ND:d71"", ""168-2025-ND:d69""]",0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1,1.0,0.0833,"[""168-2025-ND:d60"", ""01-2021-ND:d91"", ""01-2021-ND:d66"", ""168-2025-ND:d103"", ""168-2025-ND:d118"", ""168-2025-ND:d32"", ""01-2021-ND:d9"", ""01-2021-ND:d96"", ""23-2022-ND:d21"", ""168-2025-ND:d39""]",0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1,1.0,0.0909,"[""168-2025-ND:d69"", ""168-2025-ND:d71"", ""168-2025-ND:d60"", ""168-2025-ND:d57"", ""168-2025-ND:d101"", ""01-2021-ND:d66"", ""168-2025-ND:d103"", ""168-2025-ND:d32"", ""01-2021-ND:d91"", ""01-2021-ND:d31""]",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,"[""168-2025-ND:d32"", ""168-2025-ND:d71"", ""168-2025-ND:d69"", ""168-2025-ND:d57"", ""47-2021-ND:d26"", ""01-2021-ND:d63"", ""59-2020-QH14:d109"", ""01-2021-ND:d32"", ""23-2022-ND:d29"", ""168-2025-ND:d60""]",0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1,1.0,0.0588
2,"[""168-2025-ND:d60"", ""01-2021-ND:d66"", ""01-2021-ND:d91"", ""168-2025-ND:d103"", ""168-2025-ND:d22"", ""168-2025-ND:d71"", ""168-2025-ND:d118"", ""168-2025-ND:d36"", ""01-2021-ND:d41"", ""168-2025-ND:d69""]",0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1,1.0,0.0769,"[""01-2021-ND:d91"", ""168-2025-ND:d60"", ""01-2021-ND:d66"", ""168-2025-ND:d103"", ""23-2022-ND:d21"", ""168-2025-ND:d118"", ""59-2020-QH14:d206"", ""168-2025-ND:d32"", ""01-2021-ND:d96"", ""01-2021-ND:d67""]",0,0.0,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.1429,"[""168-2025-ND:d71"", ""168-2025-ND:d69"", ""168-2025-ND:d60"", ""01-2021-ND:d66"", ""168-2025-ND:d57"", ""168-2025-ND:d101"", ""01-2021-ND:d91"", ""168-2025-ND:d32"", ""168-2025-ND:d103"", ""01-2021-ND:d63""]",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0.0435,"[""47-2021-ND:d26"", ""01-2021-ND:d63"", ""168-2025-ND:d60"", ""59-2020-QH14:d110"", ""59-2020-QH14:d109"", ""168-2025-ND:d57"", ""59-2020-QH14:d206"", ""168-2025-ND:d32"", ""47-2021-ND:d23"", ""168-2025-ND:d69""]",0,0.0,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.1429
3,"[""59-2020-QH14:d77"", ""59-2020-QH14:d182"", ""59-2020-QH14:d119"", ""59-2020-QH14:d185"", ""59-2020-QH14:d55"", ""59-2020-QH14:d76"", ""59-2020-QH14:d49"", ""59-2020-QH14:d50"", ""01-2021-ND:d32"", ""01-2021-ND:d52""]",0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,1,0.5,0.05,"[""59-2020-QH14:d77"", ""59-2020-QH14:d119"", ""59-2020-QH14:d182"", ""59-2020-QH14:d185"", ""59-2020-QH14:d76"", ""59-2020-QH14:d55"", ""59-2020-QH14:d50"", ""01-2021-ND:d32"", ""01-2021-ND:d52"", ""59-2020-QH14:d167""]",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,0.0417,"[""168-2025-ND:d63"", ""168-2025-ND:d109"", ""23-2022-ND:d48"", ""100-2019-ND-CP:d23"", ""100-2019-ND-CP:d38"", ""01-2021-ND:d19"", ""100-2019-ND-CP:d7"", ""168-2024-ND-CP:d18"", ""168-2025-ND:d15"", ""59-2020-QH14:d53""]",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,"[""59-2020-QH14:d70"", ""59-2020-QH14:d136"", ""44-2025-ND:d7"", ""59-2020-QH14:d178"", ""59-2020-QH14:d119"", ""248-2025-ND:d1"", ""59-2020-QH14:d134"", ""168-2025-ND:d72"", ""59-2020-QH14:d50"", ""44-2025-ND:d18""]",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
4,"[""47-2021-ND:d16"", ""36-2024-QH15:d85"", ""168-2025-ND:d81"", ""16-2023-ND:d7"", ""23-2022-ND:d30"", ""168-2025-ND:d74"", ""168-2025-ND:d57"", ""16-2023-ND:d8"", ""44-2025-ND:d3"", ""59-2020-QH14:d172""]",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,"[""23-2022-ND:d30"", ""59-2020-QH14:d172"", ""168-2025-ND:d34"", ""168-2025-ND:d81"", ""168-2025-ND:d56"", ""168-2025-ND:d4"", ""01-2021-ND:d4"", ""168-2025-ND:d36"", ""59-2020-QH14:d213"", ""23-2022-ND:d31""]",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,"[""168-2025-ND:d30"", ""168-2025-ND:d71"", ""01-2021-ND:d31"", ""01-2021-ND:d29"", ""168-2025-ND:d60"", ""168-2025-ND:d104"", ""01-2021-ND:d69"", ""01-2021-ND:d77"", ""168-2025-ND:d63"", ""168-2025-ND:d66""]",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,"[""248-2025-ND:d7"", ""44-2025-ND:d24"", ""47-2021-ND:d26"", ""168-2025-ND:d104"", ""01-2021-ND:d78"", ""01-2021-ND:d37"", ""01-2021-ND:d91"", ""168-2025-ND:d61"", ""59-2020-QH14:d206"", ""248-2025-ND:d10""]",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
5,"[""59-2020-QH14:d110"", ""36-2024-QH15:d62"", ""01-2021-ND:d75"", ""168-2025-ND:d69"", ""168-2025-ND:d29"", ""01-2021-ND:d77"", ""168-2025-ND:d71"", ""168-2024-ND-CP:d3"", ""168-2024-ND-CP:d51"", ""01-2021-ND:d30""]",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,"[""59-2020-QH14:d110"", ""36-2024-QH15:d62"", ""01-2021-ND:d75"", ""168-2025-ND:d29"", ""01-2021-ND:d77"", ""168-2024-ND-CP:d49"", ""01-2021-ND:d30"", ""168-2025-ND:d69"", ""59-2020-QH14:d179"", ""168-2025-ND:d102""]",0,0.0,0,0.0,0,0.0,0,0.0,1,0.1667,1,0.3333,0.0526,"[""01-2021-ND:d98"", ""168-2025-ND:d71"", ""168-2025-ND:d69"", ""168-2024-ND-CP:d3"", ""01-2021-ND:d97"", ""168-2025-ND:d119"", ""168-2025-ND:d121"", ""168-2024-ND-CP:d6"", ""168-2024-ND-CP:d13"", ""168-2025-ND:d54""]",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1667,0.0476,"[""01-2021-ND:d76"", ""36-2024-QH15:d62"", ""168-2024-ND-CP:d51"", ""89-2024-ND:d6"", ""168-2025-ND:d108"", ""168-2025-ND:d110"", ""168-2025-ND:d123"", ""01-2021-ND:d93"", ""168-2024-ND-CP:d5"", ""168-2025-ND:d118""]",0,0.0,0,0.0,0,0.0,0,0.0,1,0.3333,1,0.3333,0.0909
6,"[""01-2021-ND:d51"", ""168-2025-ND:d44"", ""59-2020-QH14:d68"", ""59-2020-QH14:d4"", ""59-2020-QH14:d187"", ""168-2025-ND:d26"", ""01-2021-ND:d52"", ""59-2020-QH14:d52"", ""01-2021-ND:d26"", ""01-2021-ND:d53""]",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,"[""59-2020-QH14:d68"", ""59-2020-QH14:d52"", ""59-2020-QH14:d58"", ""59-2020-QH14:d87"", ""01-2021-ND:d51"", ""168-2025-ND:d44"", ""47-2021-ND:d12"", ""59-2020-QH14:d187"", ""01-2021-ND:d53"", ""59-2020-QH14:d51""]",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,"[""59-2020-QH14:d17"", ""59-2020-QH14:d47"", ""168-2025-ND:d44"", ""59-2020-QH14:d75"", ""01-2021-ND:d51"", ""59-2020-QH14:d52"", ""59-2020-QH14:d187"", ""168-2025-ND:d51"", ""89-2024-ND:d7"", ""59-2020-QH14:d35""]",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,"[""59-2020-QH14:d109"", ""44-2025-ND:d32"", ""59-2020-QH14:d178"", ""59-2020-QH14:d47"", ""59-2020-QH14:d175"", ""23-2022-ND:d29"", ""47-2021-ND:d23"", ""248-2025-ND:d11"", ""168-2025-ND:d52"", ""47-2021-ND:d26""]",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
7,"[""59-2020-QH14:d51"", ""59-2020-QH14:d68"", ""168-2025-ND:d26"", ""59-2020-QH14:d205"", ""01-2021-ND:d26"", ""59-2020-QH14:d127"", ""01-2021-ND:d52"", ""168-2025-ND:d45"", ""168-2025-ND:d44"", ""59-2020-QH14:d113""]",0,0.0,0,0.0,0,0.0,0,0.0,1,0.3333,1,0.3333,0.0588,"[""59-2020-QH14:d192"", ""59-2020-QH14:d51"", ""59-2020-QH14:d205"", ""168-2025-ND:d26"", ""59-2020-QH14:d75"", ""59-2020-QH14:d52"", ""01-2021-ND:d26"", ""59-2020-QH14:d68"", ""59-2020-QH14:d113"", ""168-2025-ND:d44""]",0,0.0,0,0.0,0,0.0,1,0.3333,1,0.3333,1,0.3333,0.1667,"[""168-2025-ND:d45"", ""01-2021-ND:d52"", ""168-2025-ND:d46"", ""168-2025-ND:d51"", ""59-2020-QH14:d205"", ""168-2025-ND:d50"", ""01-2021-ND:d98"", ""23-2022-ND:d35"", ""89-2024-ND:d11"", ""01-2021-ND:d53""]",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,"[""59-2020-QH14:d136"", ""59-2020-QH14:d119"", ""59-2020-QH14:d113"", ""59-2020-QH14:d134"", ""59-2020-QH14:d133"", ""59-2020-QH14:d186"", ""59-2020-QH14:d70"", ""59-2020-QH14:d132"", ""59-2020-QH14:d78"", ""59-2020-QH14:d178""]",0,0.0,0,0.0,0,0.0,0,0.0,1,0.3333,1,0.6667,0.0714
8,"[""59-2020-QH14:d185"", ""59-2020-QH14:d182"", ""59-2020-QH14:d187"", ""59-2020-QH14:d49"", ""59-2020-QH14:d181"", ""23-2022-ND:d34"", ""59-2020-QH14:d119"", ""59-2020-QH14:d59"", ""59-2020-QH14:d25"", ""59-2020-QH14:d4""]",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,"[""59-2020-QH14:d185"", ""59-2020-QH14:d187"", ""59-2020-QH14:d182"", ""59-2020-QH14:d119"", ""59-2020-QH14:d177"", ""59-2020-QH14:d51"", ""59-2020-QH14:d25"", ""59-2020-QH14:d49"", ""59-2020-QH14:d77"", ""59-2020-QH14:d188""]",0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1,1.0,0.0833,"[""89-2024-ND:d7"", ""59-2020-QH14:d25"", ""59-2020-QH14:d185"", ""59-2020-QH14:d47"", ""59-2020-QH14:d187"", ""23-2022-ND:d6"", ""59-2020-QH14:d181"", ""59-2020-QH14:d53"", ""168-2025-ND:d51"", ""59-2020-QH14:d75""]",0,0.0,0,0.0,0,0.0,0,0.0,1,0.3333,1,0.3333,0.0909,"[""59-2020-QH14:d178"", ""59-2020-QH14:d36"", ""59-2020-QH14:d34"", ""59-2020-QH14:d52"", ""248-2025-ND:d11"", ""59-2020-QH14:d119"", ""23-2022-ND:d5"", ""59-2020-QH14:d70"", ""59-2020-QH14:d68"", ""59-2020-QH14:d51""]",1,0.3333,1,0.3333,1,0.3333,1,0.3333,1,0.3333,1,0.3333,1.0
9,"[""168-2025-ND:d64"", ""59-2020-QH14:d210"", ""01-2021-ND:d70"", ""59-2020-QH14:d208"", ""168-2025-ND:d56"", ""168-2025-ND:d40"", ""01-2021-ND:d31"", ""59-2020-QH14:d209"", ""01-2021-ND:d29"", ""168-2025-ND:d54""]",0,0.0,1,0.5,1,1.0,1,1.0,1,1.0,1,1.0,0.5,"[""59-2020-QH14:d210"", ""01-2021-ND:d9"", ""168-2025-ND:d40"", ""168-2025-ND:d34"", ""168-2025-ND:d56"", ""168-2025-ND:d9"", ""59-2020-QH14:d72"", ""01-2021-ND:d70"", ""01-2021-ND:d47"", ""168-2025-ND:d90""]",1,0.5,1,0.5,1,0.5,1,0.5,1,1.0,1,1.0,1.0,"[""59-2020-QH14:d210"", ""01-2021-ND:d30"", ""01-2021-ND:d31"", ""168-2025-ND:d29"", ""59-2020-QH14:d209"", ""01-2021-ND:d22"", ""01-2021-ND:d23"", ""01-2021-ND:d24"", ""01-2021-ND:d25"", ""168-2025-ND:d24""]",1,0.5,1,0.5,1,0.5,1,0.5,1,0.5,1,1.0,1.0,"[""01-2021-ND:d32"", ""59-2020-QH14:d28"", ""89-2024-ND:d13"", ""59-2020-QH14:d210"", ""01-2021-ND:d48"", ""59-2020-QH14:d23"", ""168-2025-ND:d115"", ""168-2025-ND:d25"", ""59-2020-QH14:d212"", ""01-2021-ND:d23""]",0,0.0,0,0.0,1,0.5,1,0.5,1,0.5,1,0.5,0.25
10,"[""168-2025-ND:d60"", ""168-2025-ND:d103"", ""01-2021-ND:d66"", ""01-2021-ND:d91"", ""59-2020-QH14:d206"", ""23-2022-ND:d21"", ""168-2025-ND:d61"", ""01-2021-ND:d67"", ""44-2025-ND:d18"", ""01-2021-ND:d41""]",0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,1,1.0,0.2,"[""23-2022-ND:d21"", ""01-2021-ND:d91"", ""168-2025-ND:d103"", ""168-2025-ND:d60"", ""01-2021-ND:d66"", ""59-2020-QH14:d206"", ""36-2024-QH15:d64"", ""168-2025-ND:d61"", ""01-2021-ND:d67"", ""168-2025-ND:d118""]",0,0.0,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.1667,"[""168-2025-ND:d69"", ""168-2025-ND:d71"", ""01-2021-ND:d66"", ""01-2021-ND:d67"", ""01-2021-ND:d91"", ""168-2025-ND:d60"", ""168-2025-ND:d61"", ""168-2025-ND:d103"", ""59-2020-QH14:d206"", ""23-2022-ND:d21""]",0,0.0,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.1111,"[""59-2020-QH14:d206"", ""168-2025-ND:d61"", ""23-2022-ND:d21"", ""168-2024-ND-CP:d4"", ""01-2021-ND:d41"", ""36-2024-QH15:d18"", ""168-2025-ND:d60"", ""01-2021-ND:d91"", ""01-2021-ND:d67"", ""36-2024-QH15:d19""]",1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1.0
